Dimensión 1,Dimensión 2,Etiqueta
1.1536873317389709,-1.3062432692608168,`
-6.167790543469106,-5.906070509776385,a
-6.167790543469106,-5.906070509776385,b
-6.167790543469106,-5.906070509776385,c
-6.167790543469106,-5.906070509776385,d
-6.167790543469106,-5.906070509776385,e
-6.167790543469106,-5.906070509776385,f
-3.822819273601647,-0.683369929341888,g
-6.167790543469106,-5.906070509776385,h
-6.167790543469106,-5.906070509776385,i
-6.167790543469106,-5.906070509776385,j
-6.167790543469106,-5.906070509776385,k
16.291805544315665,-2.479845946447293,l
-6.167790543469106,-5.906070509776385,m
-6.167790543469106,-5.906070509776385,n
-6.167790543469106,-5.906070509776385,o
-6.167790543469106,-5.906070509776385,p
-6.167790543469106,-5.906070509776385,q
-6.99057165164517,-6.00383269349413,r
-6.167790543469106,-5.906070509776385,s
-6.167790543469106,-5.906070509776385,t
-6.167790543469106,-5.906070509776385,u
-6.167790543469106,-5.906070509776385,v
-6.167790543469106,-5.906070509776385,w
-6.167790543469106,-5.906070509776385,x
-6.167790543469106,-5.906070509776385,y
-6.167790543469106,-5.906070509776385,z
-6.167790543469106,-5.906070509776385,{
4.859586398085397,-1.593548005858374,|
-68.21887662936763,7.3766188346138435,}
1.1536873317389709,-1.3062432692608168,~
-6.167790543469106,-5.906070509776385,DEL
